# id    npts   len        ngal1   ngal2   lum1       lum2       xmin        ymin       zmin        xlen      ylen      zlen     
  235   16     7.55298    4       5       4.70619    5.74687    -161.0269   115.0391   -54.3416    6.0678    3.376     2.6949   
  236   43     21.39203   20      23      11.04839   12.10424   7.8264      152.4212   -8.5961     6.2681    1.735     18.1242  
  237   40     19.63999   7       16      1.8809     6.77667    -14.0838    93.6151    -8.1273     19.0518   2.8616    1.0806   
  238   52     25.72086   27      33      31.57261   36.75153   -224.9292   140.9674   1.6319      22.2813   8.7287    6.1926   
  239   21     10.05833   4       6       2.00829    3.2235     -51.9053    159.4502   14.8756     3.0927    9.1713    0.422    
  240   73     36.68129   23      28      9.7173     12.50585   129.9291    96.2026    -22.269     15.3894   22.3528   14.4065  
  241   70     34.69944   23      26      55.92934   61.34068   65.1055     360.7433   11.2924     31.3339   10.2428   5.5578   
  242   84     42.14969   41      56      35.75137   57.44364   34.9064     203.0838   17.5902     20.7336   26.8068   17.1085  
  243   57     28.29159   25      31      19.82777   26.95796   119.8431    59.7768    -20.8107    4.205     6.2457    25.5063  
  244   34     16.79968   14      19      9.51545    10.75773   -39.8277    107.2761   59.8167     2.8773    7.582     14.2244  
  245   35     17.12762   13      18      9.14742    11.78134   -109.7047   123.1669   5.2458      5.4061    15.5923   2.8513   
  246   48     23.83374   27      35      7.91831    12.81216   13.0496     91.9705    28.4229     3.4841    5.825     21.688   
  247   66     32.77776   21      30      19.19775   27.70087   -61.8607    205.0521   -30.912     28.8963   6.0566    9.7541   
