id,SM,VelDisp,SFR,GM,Tot_Mass,SM_sh,Metal,SF_Metal,NSF_Metal,SF_O,SF_H,x,y,z,SubGrpNum,Vel,Mass_sh,grpid,u,g,r,i,zmag
12783300,8.1794668E9,65.54375,0.7277803,5.607233E9,1.27451423E11,8.4376243E9,0.019326508,0.02939625,0.0064319666,0.012423972,0.68733174,60.61594,46.203808,96.48026,4,400.98636198753695,3.40546716E11,27000000000062,3.5454337E-5,8.556872E-5,1.3758714E-4,1.8256603E-4,2.1187306E-4
8282541,2.63699722E10,97.543175,1.8021362,4.4882442E9,2.04826132E11,2.76455956E10,0.019978646,0.041377332,0.016965132,0.017268715,0.6589874,64.792244,47.71844,94.65925,1,119.11273136586827,3.40705542E11,27000000000195,6.370806E-5,1.8967061E-4,3.5325863E-4,4.864368E-4,6.034992E-4
11349458,1.72544691E9,48.102245,0.17104852,3.91548544E9,7.9798346E10,1.78169894E9,0.013847666,0.028966123,0.0011339198,0.011978019,0.68758404,92.34631,12.622247,29.301262,0,379.59779290059106,3.40769702E11,27000000003466,5.0487297E-6,1.4091512E-5,2.5969002E-5,3.6193513E-5,4.3459473E-5
11631623,1.19614341E10,74.38332,1.5287882,3.43882752E9,1.24042953E11,1.20472566E10,0.020277044,0.031313743,0.0047993828,0.0131777115,0.68189687,34.569622,87.285324,84.99116,0,227.5726017395328,3.40945175E11,27000000003607,4.712611E-5,1.1980347E-4,2.0413774E-4,2.7927404E-4,3.3206816E-4
11536259,2.75921183E10,88.40137,1.0879649,2.05101478E9,1.79082576E11,2.88647516E10,0.022382144,0.06795636,0.06544473,0.0270209,0.5978694,34.842014,78.63657,61.16166,10,633.5082625743725,3.41005337E11,27000000000014,3.1720723E-5,1.2786756E-4,2.791999E-4,3.8930486E-4,5.1150616E-4
11421016,4.6135516E9,55.875298,0.35719037,1.29893338E9,9.5116607E10,4.6874691E9,0.018288147,0.04050839,0.0022697418,0.016622191,0.66078186,24.328556,61.146908,78.79522,0,151.6288707770555,3.41137129E11,27000000003654,1.1881261E-5,3.574029E-5,6.7457746E-5,9.265035E-5,1.1480029E-4
11755457,3.65502157E9,60.74092,0.13342857,5.5052421E9,1.09872407E11,3.74474112E9,0.0147572495,0.031637583,0.002087189,0.013235196,0.6832518,2.2995462,40.61847,53.87808,0,290.8762489229741,3.41149745E11,27000000003769,7.814375E-6,2.3381936E-5,4.4431028E-5,5.9152277E-5,7.406985E-5
8341799,5.9440333E9,63.068813,0.40554875,7.873111E8,1.11544492E11,6.2533396E9,0.016860405,0.050049845,0.007262642,0.020227203,0.638544,90.59728,65.6364,12.098456,1,218.25034901174843,3.41158363E11,27000000000279,8.825958E-6,3.3316555E-5,6.980901E-5,9.730563E-5,1.2370179E-4
11594105,3.50874394E9,53.151947,0.25371283,3.75890227E9,9.3534159E10,3.67874202E9,0.015003318,0.027336791,0.0024257961,0.011576653,0.6919,18.190727,73.89132,20.453453,0,288.3991374813732,3.41218722E11,27000000003786,1.2776688E-5,3.5439898E-5,6.132683E-5,8.0308746E-5,9.604945E-5
11861852,5.0705541E9,63.561253,0.30080178,3.45510989E9,1.19718142E11,5.1553142E9,0.017743168,0.029681314,0.0050909184,0.012347016,0.68664235,66.47658,3.894377,0.14723653,0,492.90257975080635,3.41556658E11,27000000003898,1.1546815E-5,3.342243E-5,6.149711E-5,8.411198E-5,1.0471407E-4
