id,x,y,z,g_x,g_y,g_z,M,R,grpid
5870916,4.8165665,25.36281,37.28697,4.9266124,25.39309,37.262093,4.9118978E10,74.725945,27000100004382
4699794,58.35628,80.72297,71.770256,58.354076,80.72614,71.74661,4.9172902E10,74.75245,27000100004480
4926499,8.9974575,82.07585,54.996727,8.88442,82.11403,54.86333,4.924579E10,74.78789,27000100000463
6219122,26.335009,91.5927,93.34774,26.328785,91.59129,93.344185,4.9527046E10,74.93452,27000200000523
6206388,12.971207,78.278206,52.657406,12.9705105,78.2791,52.658173,4.9595728E10,74.96404,27000200002687
6255033,54.012917,97.65822,19.35616,54.01378,97.65642,19.354946,4.9680282E10,75.00819,27000200001319
6050063,37.64149,43.836624,97.946396,37.64338,43.835438,97.94787,5.000593E10,75.1728,27000100002626
1711610,59.609283,15.585644,23.305065,59.611103,15.58322,23.304731,5.0015298E10,75.173805,27000200001242
4789105,52.061207,47.96989,4.876439,52.0639,47.975235,4.879361,5.0066678E10,75.20133,27000100004907
4991061,50.59341,1.9052756,14.134283,50.5982,1.9067514,14.139463,5.0175541E10,75.25667,27000100002646
3505767,7.23036,35.334038,56.592144,7.2318263,35.33218,56.59105,5.0299896E10,75.31914,27000100001206
5512564,93.95281,95.81524,39.410213,93.95261,95.8194,39.411423,5.0382897E10,75.36074,27000200000881
5522494,88.453606,46.692196,82.39603,88.4554,46.690315,82.39626,5.0941075E10,75.638145,27000200001957
5264508,93.28267,45.35012,63.856873,93.28525,45.34916,63.85577,5.096199E10,75.651634,27000200000081
5398918,20.198013,83.88183,73.22518,20.198524,83.87666,73.22205,5.1017683E10,75.67523,27000200000644
