id,xslice,yslice,SM,x,Metal,y,z
55587744,-41.7002, -5.9632,3372213760.0000,  4.8327,  0.0200, 68.7113, 46.8436
55597220,-16.5903, 18.2452,1401883260.0000, 29.9157,  0.0190, 92.8502, 37.9904
55597459,-16.8050, 18.2142,1178405380.0000, 29.7844,  0.0129, 93.0352, 38.4072
55599968, -5.2323,-45.0702,3377998590.0000, 41.8459,  0.0173, 31.0160, 55.8171
56099343,-41.3776, -0.2331,16662168600.0000,  5.6105,  0.0163, 75.6200, 47.4516
56101135,-41.1604, -0.2287,8789453800.0000,  5.8498,  0.0263, 75.6815, 47.5312
56102055,-43.7940, -0.8559,6694036500.0000,  3.9431,  0.0232, 76.9359, 51.3312
56102444,-41.7215, -0.6247,3735874050.0000,  5.2717,  0.0185, 75.2415, 47.6101
56102786,-41.1918, -0.1582,3774374140.0000,  5.7969,  0.0180, 75.6962, 47.4162
56104260,-41.2678, -0.5269,2389317890.0000,  5.6922,  0.0152, 75.2531, 47.3852
56104583,-40.7481, -0.1298,3482326020.0000,  6.3213,  0.0212, 75.9336, 47.7399
56104927,-41.1107, -0.0503,2980000000.0000,  5.8578,  0.0182, 75.7518, 47.2865
56105437,-40.9655, -0.1409,2274280700.0000,  6.0412,  0.0144, 75.7603, 47.4732
56105651,-41.7252, -0.5767,1840307330.0000,  5.2668,  0.0145, 75.2863, 47.5923
56105884,-40.4055, -0.1244,1265067140.0000,  6.7783,  0.0136, 76.2350, 48.2355
56106143,-41.5564, -0.6160,2951618050.0000,  5.4253,  0.0233, 75.2204, 47.5380
56106505,-42.6085, -1.0739,1548299780.0000,  4.1943,  0.0085, 74.2993, 46.9291
56106715,-43.6535, -0.8759,1228548610.0000,  4.0350,  0.0130, 76.7901, 51.0967
56106879,-43.7616, -1.0086,3177390080.0000,  3.9136,  0.0148, 76.6229, 51.0797
56107103,-41.9431, -0.4404,1896701440.0000,  4.9688,  0.0127, 75.2153, 47.2071
56107300,-41.2232, -0.2399,8034887200.0000,  5.7746,  0.0339, 75.6383, 47.4829
56108144,-45.7706, -1.8465,1524473220.0000,  1.0947,  0.0138, 73.6886, 47.7331
56108330,-41.5919, -0.5867,1192331260.0000,  5.3619,  0.0107, 75.1776, 47.4047
56108573,-45.0748, -1.9376,1175423100.0000,  1.9161,  0.0115, 73.9227, 48.2709
56108925,-41.7537,  0.8468,2377506560.0000,  5.0218,  0.0144, 76.1495, 46.2232
56109407,-43.9141, -1.8135,1030111810.0000,  2.9677,  0.0131, 73.7644, 47.6168
56109788,-41.2029, -0.3955,1854455810.0000,  5.7752,  0.0130, 75.4316, 47.4294
56110109,-44.0148, -1.9773,1211590910.0000,  2.8643,  0.0139, 73.5936, 47.6564
56110501,-40.5155,  0.0823,1362562300.0000,  6.5057,  0.0109, 76.0209, 47.4382
56111500,-41.5644, -0.4885,2127778940.0000,  5.4252,  0.0184, 75.3684, 47.5427
56111893,-40.6746, -0.2175,2014798080.0000,  6.3267,  0.0136, 75.6697, 47.4389
56112495,-41.1924, -0.4539,1843018370.0000,  5.8197,  0.0119, 75.4613, 47.6014
56112925,-45.4125, -2.0350,1264051580.0000,  1.6073,  0.0126, 73.8999, 48.4634
56113298,-44.6088, -2.0540,1248308220.0000,  2.3601,  0.0127, 73.7493, 48.1522
56113532,-41.5117, -0.2114,1422890370.0000,  5.4761,  0.0149, 75.6408, 47.4577
56116687,-43.3899, -3.4571,1025461180.0000,  3.4991,  0.0141, 72.1394, 48.0212
56117739,-41.3278, -0.7699,1186905220.0000,  5.6816,  0.0104, 75.1382, 47.6835
56123770,-42.0259, -0.5633,1140768260.0000,  5.0316,  0.0101, 75.4691, 47.9228
56131863,-41.2421, -0.3728,1351254530.0000,  5.8315,  0.0157, 75.7014, 47.8709
56132822,-44.4741, -2.0595,1097402370.0000,  2.5420,  0.0189, 73.8658, 48.3593
56190643,  9.6631,-49.7930,1901539840.0000, 65.1770,  0.0178, 48.1288, 94.7355
56190924,  9.5756,-49.8318,20304732200.0000, 65.0685,  0.0244, 48.0353, 94.6561
56201093, 40.8690,-40.0845,5240520200.0000, 91.6443,  0.0206, 45.5714, 67.1219
56210233, 32.5229,-55.0691,2855299070.0000, 83.2470,  0.0169, 30.4544, 71.5714
56258864,-12.8823, 18.7538,2304567810.0000, 33.8588,  0.0234, 93.9672, 38.5826
56261137,-18.1289,  8.1992,2826548990.0000, 33.0175,  0.0193, 94.8160, 62.2844
56262297,  7.0805, 22.6189,1944732420.0000, 52.0958,  0.0125, 93.3653, 27.5863
56262650,  6.9968, 22.3165,1056650880.0000, 51.9995,  0.0109, 93.0305, 27.6142
56265394, 39.0857,  9.1434,5293878800.0000, 85.3527,  0.0198, 83.1298, 33.6864
56274554,-33.5638,-14.6861,1664450180.0000, 13.3384,  0.0150, 60.9445, 49.9957
56274787,-33.7831,-14.8273,1048324930.0000, 13.1672,  0.0137, 60.9279, 50.2773
56727112, 41.2807, 29.4357,1355071620.0000, 85.8174,  0.0144, 98.9434, 20.2076
56736573,-38.8759,  6.3984,6728762400.0000, 10.6319,  0.0202, 88.7736, 57.1998
